split_index,train_size,test_size,test_auc,test_accuracy
1,28,14,0.7755102040816326,0.7857142857142857
2,28,14,0.7551020408163265,0.7142857142857143
3,28,14,0.7551020408163265,0.6428571428571429
4,28,14,0.673469387755102,0.5714285714285714
5,28,14,0.8163265306122449,0.7142857142857143
6,28,14,0.7755102040816326,0.7142857142857143
7,28,14,0.7142857142857143,0.7142857142857143
8,28,14,0.7346938775510204,0.6428571428571429
9,28,14,0.7755102040816326,0.7142857142857143
10,28,14,0.7959183673469388,0.7142857142857143
11,28,14,0.7551020408163265,0.7142857142857143
12,28,14,0.7142857142857143,0.6428571428571429
13,28,14,0.7959183673469388,0.7857142857142857
14,28,14,0.8163265306122449,0.7142857142857143
15,28,14,0.8163265306122449,0.7857142857142857
16,28,14,0.7959183673469388,0.6428571428571429
17,28,14,0.7755102040816326,0.7142857142857143
18,28,14,0.7551020408163265,0.7142857142857143
19,28,14,0.7142857142857143,0.5714285714285714
20,28,14,0.8163265306122448,0.7142857142857143
21,28,14,0.7551020408163265,0.7142857142857143
22,28,14,0.7755102040816326,0.7142857142857143
23,28,14,0.836734693877551,0.7142857142857143
24,28,14,0.7346938775510204,0.6428571428571429
25,28,14,0.7142857142857143,0.6428571428571429
26,28,14,0.7551020408163265,0.7857142857142857
27,28,14,0.8163265306122449,0.7142857142857143
28,28,14,0.7142857142857143,0.5714285714285714
29,28,14,0.7959183673469388,0.7142857142857143
30,28,14,0.7551020408163265,0.7857142857142857
31,28,14,0.7551020408163265,0.6428571428571429
32,28,14,0.7755102040816326,0.7142857142857143
33,28,14,0.7959183673469388,0.7142857142857143
34,28,14,0.7551020408163266,0.7142857142857143
35,28,14,0.7755102040816326,0.7142857142857143
36,28,14,0.7755102040816326,0.6428571428571429
37,28,14,0.7551020408163266,0.6428571428571429
38,28,14,0.7142857142857143,0.6428571428571429
39,28,14,0.8163265306122449,0.5714285714285714
40,28,14,0.8163265306122449,0.7857142857142857
41,28,14,0.6938775510204082,0.5714285714285714
42,28,14,0.7142857142857143,0.6428571428571429
43,28,14,0.7346938775510203,0.5714285714285714
44,28,14,0.7551020408163265,0.7142857142857143
45,28,14,0.7551020408163265,0.7142857142857143
46,28,14,0.7551020408163266,0.7142857142857143
47,28,14,0.673469387755102,0.6428571428571429
48,28,14,0.8163265306122449,0.7142857142857143
49,28,14,0.7142857142857143,0.6428571428571429
50,28,14,0.7755102040816326,0.7142857142857143
51,28,14,0.7959183673469388,0.6428571428571429
52,28,14,0.7959183673469388,0.6428571428571429
53,28,14,0.836734693877551,0.7142857142857143
54,28,14,0.7755102040816326,0.7142857142857143
55,28,14,0.6938775510204082,0.6428571428571429
56,28,14,0.8163265306122449,0.7857142857142857
57,28,14,0.8571428571428571,0.5714285714285714
58,28,14,0.7142857142857143,0.7857142857142857
59,28,14,0.8163265306122448,0.7857142857142857
60,28,14,0.7346938775510204,0.7142857142857143
61,28,14,0.7142857142857143,0.6428571428571429
62,28,14,0.7959183673469388,0.7142857142857143
63,28,14,0.7142857142857143,0.7142857142857143
64,28,14,0.7142857142857143,0.6428571428571429
65,28,14,0.7755102040816326,0.7857142857142857
66,28,14,0.7346938775510204,0.6428571428571429
67,28,14,0.7959183673469388,0.7857142857142857
68,28,14,0.6938775510204082,0.6428571428571429
69,28,14,0.6938775510204082,0.7142857142857143
70,28,14,0.8775510204081632,0.7857142857142857
71,28,14,0.6938775510204082,0.7142857142857143
72,28,14,0.7755102040816326,0.7142857142857143
73,28,14,0.7346938775510204,0.7142857142857143
74,28,14,0.7551020408163265,0.7142857142857143
75,28,14,0.8163265306122449,0.7142857142857143
76,28,14,0.836734693877551,0.8571428571428571
77,28,14,0.7142857142857143,0.6428571428571429
78,28,14,0.673469387755102,0.6428571428571429
79,28,14,0.7755102040816326,0.7857142857142857
80,28,14,0.8163265306122448,0.8571428571428571
81,28,14,0.653061224489796,0.7142857142857143
82,28,14,0.7142857142857143,0.5714285714285714
83,28,14,0.7142857142857143,0.7857142857142857
84,28,14,0.7551020408163265,0.7142857142857143
85,28,14,0.836734693877551,0.8571428571428571
86,28,14,0.7142857142857143,0.7142857142857143
87,28,14,0.7551020408163265,0.7857142857142857
88,28,14,0.7142857142857143,0.6428571428571429
89,28,14,0.6938775510204082,0.5
90,28,14,0.6938775510204082,0.7142857142857143
91,28,14,0.7551020408163265,0.7857142857142857
92,28,14,0.7142857142857142,0.7142857142857143
93,28,14,0.7755102040816326,0.8571428571428571
94,28,14,0.7959183673469388,0.6428571428571429
95,28,14,0.7755102040816326,0.6428571428571429
96,28,14,0.8163265306122449,0.7142857142857143
97,28,14,0.9183673469387755,0.6428571428571429
98,28,14,0.7551020408163266,0.6428571428571429
99,28,14,0.7346938775510203,0.6428571428571429
100,28,14,0.7755102040816326,0.7857142857142857
