rank,row,col,utility,suitability,basis_match,block_row,block_col
2884,87,130,0.49582776,0.22435042,1,5,8
2885,170,131,0.4957533,0.22423586,1,10,8
2886,212,60,0.4957533,0.22423586,1,13,3
2887,171,124,0.495732,0.22420312,1,10,7
2888,211,67,0.495732,0.22420312,1,13,4
2889,21,160,0.49570006,0.22415394,1,1,10
2890,192,31,0.49570006,0.22415394,1,12,1
2891,21,159,0.49570006,0.22415394,1,1,9
2892,105,160,0.49570006,0.22415394,1,6,10
2893,105,161,0.49570006,0.22415394,1,6,10
2894,41,191,0.4956643,0.2240989,1,2,11
2895,227,59,0.4955815,0.22397156,1,14,3
2896,157,133,0.4955815,0.22397156,1,9,8
2897,224,185,0.4955815,0.22397156,1,14,11
2898,42,195,0.49556154,0.22394086,1,2,12
2899,46,186,0.49556154,0.22394086,1,2,11
2900,157,136,0.4955461,0.22391708,1,9,8
2901,227,183,0.4955461,0.22391708,1,14,11
2902,71,8,0.4955461,0.22391708,1,4,0
2903,71,136,0.4955461,0.22391708,1,4,8
2904,69,130,0.49553043,0.22389299,1,4,8
2905,229,189,0.49553043,0.22389299,1,14,11
2906,88,127,0.4955094,0.22386064,1,5,7
2907,40,66,0.49548686,0.22382598,1,2,4
2908,126,65,0.49546808,0.22379704,1,7,4
2909,211,190,0.49546808,0.22379704,1,13,11
2910,213,67,0.49545485,0.22377673,1,13,4
2911,51,197,0.4954425,0.22375773,1,3,12
2912,211,66,0.49543703,0.22374931,1,13,4
2913,128,193,0.49543703,0.22374931,1,8,12
2914,212,192,0.49543703,0.22374931,1,13,12
2915,171,125,0.49543703,0.22374931,1,10,7
2916,148,64,0.49543127,0.22374044,1,9,4
2917,232,192,0.49543127,0.22374044,1,14,12
2918,233,190,0.49543127,0.22374044,1,14,11
2919,234,127,0.49543127,0.22374044,1,14,7
2920,56,192,0.49536678,0.22364122,1,3,12
2921,228,63,0.49536678,0.22364122,1,14,3
2922,154,129,0.49536678,0.22364122,1,9,8
2923,210,191,0.4953646,0.2236379,1,13,11
2924,125,66,0.4953646,0.2236379,1,7,4
2925,85,132,0.495348,0.22361234,1,5,8
2926,211,195,0.49530527,0.22354658,1,13,12
2927,74,8,0.4952926,0.22352709,1,4,0
2928,238,135,0.4952926,0.22352709,1,14,8
2929,129,60,0.49524108,0.22344783,1,8,3
2930,85,125,0.49520925,0.22339886,1,5,7
2931,170,130,0.49520925,0.22339886,1,10,8
2932,74,59,0.49520886,0.22339824,1,4,3
2933,224,55,0.49520427,0.22339119,1,14,3
2934,239,131,0.4951926,0.2233732,1,14,8
2935,75,133,0.49517205,0.22334163,1,4,8
2936,43,68,0.4951447,0.22329955,1,2,4
2937,145,60,0.49512076,0.22326273,1,9,3
2938,225,59,0.4951105,0.22324693,1,14,3
2939,142,60,0.4951105,0.22324693,1,8,3
2940,139,186,0.4951105,0.22324693,1,8,11
2941,70,131,0.4951105,0.22324693,1,4,8
2942,53,58,0.4951105,0.22324693,1,3,3
2943,242,132,0.4951105,0.22324693,1,15,8
2944,222,57,0.4951105,0.22324693,1,13,3
2945,228,188,0.4951105,0.22324693,1,14,11
2946,159,133,0.4951105,0.22324693,1,9,8
2947,215,195,0.4950911,0.2232171,1,13,12
2948,59,59,0.49500778,0.22308892,1,3,3
2949,130,187,0.49498385,0.2230521,1,8,11
2950,130,58,0.49495167,0.22300255,1,8,3
2951,58,187,0.4949358,0.22297819,1,3,11
2952,144,60,0.4949358,0.22297819,1,9,3
2953,51,58,0.4949358,0.22297819,1,3,3
2954,55,55,0.4949276,0.22296555,1,3,3
2955,83,123,0.49491945,0.22295302,1,5,7
2956,124,66,0.49488732,0.2229036,1,7,4
2957,56,58,0.4948535,0.22285156,1,3,3
2958,228,59,0.4948535,0.22285156,1,14,3
2959,225,185,0.4948535,0.22285156,1,14,11
2960,156,133,0.4948535,0.22285156,1,9,8
2961,196,159,0.4947608,0.22270899,1,12,9
2962,105,32,0.4947167,0.22264113,1,6,2
2963,21,33,0.4947167,0.22264111,1,1,2
2964,108,159,0.4947167,0.22264111,1,6,9
2965,105,159,0.4947167,0.22264113,1,6,9
2966,124,64,0.49468946,0.22259918,1,7,4
2967,125,192,0.49468946,0.22259918,1,7,12
2968,210,64,0.49468946,0.22259918,1,13,4
2969,212,68,0.49468285,0.222589,1,13,4
2970,170,123,0.49468285,0.222589,1,10,7
2971,213,196,0.49468285,0.222589,1,13,12
2972,213,195,0.49468285,0.222589,1,13,12
2973,159,125,0.4946577,0.22255033,1,9,7
2974,243,125,0.4946577,0.22255033,1,15,7
2975,50,186,0.4946577,0.22255033,1,3,11
2976,143,180,0.49464738,0.22253448,1,8,11
2977,133,195,0.49460742,0.22247297,1,8,12
2978,74,134,0.49460614,0.222471,1,4,8
2979,231,66,0.49459463,0.2224533,1,14,4
2980,149,62,0.49459463,0.22245327,1,9,3
2981,60,66,0.49459463,0.2224533,1,3,4
2982,231,194,0.49459463,0.2224533,1,14,12
2983,151,126,0.49459463,0.22245327,1,9,7
2984,233,130,0.49459463,0.22245327,1,14,8
2985,240,8,0.49459442,0.22245297,1,15,0
2986,240,136,0.49459442,0.22245297,1,15,8
2987,108,29,0.4945499,0.22238448,1,6,1
2988,108,157,0.4945499,0.22238448,1,6,9
2989,105,162,0.4945499,0.22238448,1,6,10
2990,21,161,0.4945499,0.22238448,1,1,10
2991,105,34,0.4945499,0.22238448,1,6,2
2992,21,158,0.4945499,0.22238448,1,1,9
2993,68,128,0.49442017,0.2221849,1,4,8
2994,73,125,0.49442017,0.2221849,1,4,7
2995,226,193,0.49442017,0.2221849,1,14,12
2996,239,128,0.49442017,0.2221849,1,14,8
2997,41,62,0.494418,0.22218156,1,2,3
2998,172,127,0.494418,0.22218156,1,10,7
2999,145,61,0.4943995,0.22215305,1,9,3
3000,40,191,0.4943971,0.22214939,1,2,11
3001,172,125,0.4943971,0.22214939,1,10,7
3002,211,192,0.4943971,0.22214939,1,13,12
3003,43,66,0.4943657,0.2221011,1,2,4
3004,214,195,0.49433756,0.22205782,1,13,12
3005,134,198,0.4942987,0.22199804,1,8,12
3006,235,126,0.49427587,0.22196291,1,14,7
3007,76,9,0.49427113,0.22195561,1,4,0
3008,224,57,0.49423385,0.22189823,1,14,3
3009,227,186,0.49423385,0.22189824,1,14,11
3010,126,195,0.4942186,0.22187476,1,7,12
3011,108,30,0.49418172,0.22181806,1,6,1
3012,105,33,0.49418172,0.22181806,1,6,2
