feature,cover_mean,stego_mean,delta_mean,mean_abs_delta,fraction_positive_delta,fraction_negative_delta
lsb_mean,0.5016254243396577,0.49702308291480657,-0.00460234142485119,0.00460234142485119,0.0,1.0
lsb_h_agreement,0.5447748891223154,0.5477598330999067,0.0029849439775910445,0.0029849439775910445,1.0,0.0
lsb_v_agreement,0.5601350957049487,0.563000408496732,0.002865312791783391,0.002865312791783391,1.0,0.0
pair_balance_mean,0.0004038810729980469,0.00041094280424572175,7.0617312476748515e-06,1.1761983235677084e-05,0.7619047619047619,0.23809523809523808
pair_balance_std,0.0007493554656453521,0.0007521611917975424,2.8057261521902725e-06,9.862370554112905e-06,0.5714285714285714,0.42857142857142855
pair_balance_max,0.0062408447265625,0.006247384207589286,6.539481026785714e-06,0.00010245186941964286,0.47619047619047616,0.47619047619047616
coarse_hist_bin_15,0.012688046409970238,0.012678600492931548,-9.445917038690477e-06,9.445917038690477e-06,0.0,0.38095238095238093
