feature,mean_coef,mean_abs_coef,std_coef
lsb_mean,-2.299823069813708,2.299823069813708,0.06806795039810642
pair_balance_max,0.33787018016601084,0.3932313569721756,0.23994324940274928
coarse_hist_bin_15,0.2943617488890969,0.3734885101347566,0.2716192057130831
pair_balance_std,0.2829543722251845,0.33876716329989526,0.23784304623015826
pair_balance_mean,0.28546614341219295,0.2984604438417514,0.16460699386998956
lsb_v_agreement,0.23840856386594794,0.23840856386594794,0.1128975260465438
pair_mass_std,-0.23167632175814348,0.23505765637480736,0.1641120965147836
lsb_h_agreement,0.20316405119785982,0.20778222337750624,0.1516929910522619
coarse_hist_bin_00,-0.19915949635043403,0.20118320255568642,0.10436837790473473
coarse_hist_bin_12,-0.0870127061327445,0.14515706302105683,0.15319076807960913
coarse_hist_bin_04,0.10397644605776472,0.1423163140675506,0.1372541609146226
mad_intensity,0.12202417850427205,0.14088941318952075,0.1165799621575388
coarse_hist_bin_09,-0.07810120921246347,0.14009564664689497,0.1601242938045513
coarse_hist_bin_01,-0.05385793245839688,0.12525110612595347,0.14720434540597677
coarse_hist_bin_13,-0.035743979968325575,0.12246835057055325,0.1476627683830708
std_intensity,0.1114302962163657,0.12201679780451996,0.09571753852224257
coarse_hist_bin_08,0.022240479540965488,0.12002433129218697,0.15189179064883535
coarse_hist_bin_03,-0.08198245555376145,0.11307059266371496,0.11716045139144159
grad_skew,0.032252280514170624,0.11287534808023011,0.1371279569502601
coarse_hist_bin_05,-0.06645687995017978,0.11010321323496187,0.11083211361829867
residual_mean,0.08379144032909697,0.10638677162286016,0.10707668511158681
lap_mean,0.08379144032909697,0.10638677162286016,0.10707668511158681
coarse_hist_bin_02,0.09225385669909696,0.10547915955180999,0.09170836420111408
residual_excess_kurtosis,0.06511179968177391,0.10369417311295308,0.1118029934599373
lap_excess_kurtosis,0.06511179968177391,0.10369417311295308,0.1118029934599373
grad_excess_kurtosis,0.06090292681061785,0.10317193978584095,0.10552883303798971
coarse_hist_bin_14,0.07570267077611073,0.10210294721602216,0.12062992072882607
mean_intensity,0.09327688336153887,0.10185843689019736,0.06864879249406028
coarse_hist_bin_07,0.030197422197329744,0.09316191969023696,0.10788060205867528
coarse_hist_bin_10,-0.023011657741704317,0.09155983579886309,0.11189518980761456
grad_mean,0.06358814849370586,0.09149186515663832,0.0819416136886872
coarse_hist_bin_11,0.05069782278314403,0.0881250945970954,0.09861931725744441
residual_skew,-0.05580382805137843,0.08524754792339068,0.0947687492337242
lap_skew,-0.05580382805137843,0.08524754792339068,0.0947687492337242
coarse_hist_bin_06,0.05253008414012089,0.08433301337833253,0.08827355668493309
lap_std,0.005675695709895499,0.051704050929022555,0.06398248738015684
residual_std,0.005675695709895499,0.051704050929022555,0.06398248738015684
residual_mean_abs,-0.019553947532686834,0.05162871573782958,0.061847247202273616
lap_mean_abs,-0.019553947532686834,0.05162871573782958,0.061847247202273616
grad_std,-0.023602819154599133,0.04837500529022574,0.05416927518857968
median_intensity,0.011736992936822592,0.048367311203444646,0.06236591861412128
