feature,plain_mean_abs_coef,white_mean_abs_coef,coef_abs_change,coef_abs_ratio_white_over_plain
grad_skew,0.11287534808023011,0.20379725558503597,0.09092190750480586,1.8055072170264708
lap_excess_kurtosis,0.10369417311295308,0.17592328716919536,0.07222911405624229,1.6965590436394842
residual_excess_kurtosis,0.10369417311295308,0.17592328716919536,0.07222911405624229,1.6965590436394842
lsb_h_agreement,0.20778222337750624,0.1417573498844561,-0.06602487349305014,0.6822400279461058
lsb_mean,2.299823069813708,0.12778990697620057,-2.1720331628375074,0.05556510353054956
grad_excess_kurtosis,0.10317193978584095,0.11967996950926793,0.01650802972342698,1.160005033893261
lsb_v_agreement,0.23840856386594794,0.11701756977133382,-0.12139099409461412,0.490827879138769
pair_balance_mean,0.2984604438417514,0.09853308186055583,-0.1999273619811956,0.3301378252739902
mad_intensity,0.14088941318952075,0.05977400007235863,-0.08111541311716212,0.4242618286125441
lap_mean_abs,0.05162871573782958,0.05597821743632094,0.004349501698491361,1.0842457852233605
residual_mean_abs,0.05162871573782958,0.05597821743632094,0.004349501698491361,1.0842457852233605
grad_std,0.04837500529022574,0.05575959699836387,0.007384591708138134,1.1526530418484018
coarse_hist_bin_03,0.11307059266371496,0.052640518420872626,-0.06043007424284233,0.4655544574438207
coarse_hist_bin_08,0.12002433129218697,0.05216747615108765,-0.06785685514109932,0.43464083981152635
std_intensity,0.12201679780451996,0.04956467535084589,-0.07245212245367408,0.40621190067490537
coarse_hist_bin_04,0.1423163140675506,0.04952388388204833,-0.09279243018550228,0.34798458775565094
coarse_hist_bin_09,0.14009564664689497,0.045054576872326814,-0.09504106977456817,0.321598693109739
lap_std,0.051704050929022555,0.043153747977516144,-0.008550302951506411,0.8346299216655464
residual_std,0.051704050929022555,0.043153747977516144,-0.008550302951506411,0.8346299216655464
pair_mass_std,0.23505765637480736,0.04071093497507897,-0.1943467213997284,0.17319552829196433
coarse_hist_bin_12,0.14515706302105683,0.039823080859210484,-0.10533398216184633,0.2743447685570719
coarse_hist_bin_14,0.10210294721602216,0.03977166249538456,-0.0623312847206376,0.3895251173391594
coarse_hist_bin_05,0.11010321323496187,0.03874490052201975,-0.07135831271294213,0.3518961834382223
pair_balance_std,0.33876716329989526,0.03818207449645707,-0.3005850888034382,0.11270890048615338
lap_skew,0.08524754792339068,0.038066826867104685,-0.04718072105628599,0.4465445375727125
residual_skew,0.08524754792339068,0.038066826867104685,-0.04718072105628599,0.4465445375727125
coarse_hist_bin_07,0.09316191969023696,0.03724881457268476,-0.0559131051175522,0.39982875724477446
coarse_hist_bin_15,0.3734885101347566,0.036322147516912595,-0.337166362617844,0.09725104395771138
coarse_hist_bin_01,0.12525110612595347,0.035756298907140535,-0.08949480721881294,0.2854769112449853
pair_balance_max,0.3932313569721756,0.035606882615739056,-0.3576244743564365,0.09054944877696515
coarse_hist_bin_13,0.12246835057055325,0.030955488575539772,-0.09151286199501348,0.25276317049321034
coarse_hist_bin_00,0.20118320255568642,0.030002696546651202,-0.17118050600903523,0.14913122052621408
coarse_hist_bin_11,0.0881250945970954,0.02707541144366219,-0.06104968315343321,0.3072383816113073
coarse_hist_bin_10,0.09155983579886309,0.026901577846854513,-0.06465825795200858,0.2938141774921656
coarse_hist_bin_02,0.10547915955180999,0.02463339530854417,-0.08084576424326582,0.2335380317114778
coarse_hist_bin_06,0.08433301337833253,0.0226944294525507,-0.06163858392578183,0.269104927514809
lap_mean,0.10638677162286016,0.021207134298890495,-0.08517963732396966,0.19933995528946205
residual_mean,0.10638677162286016,0.021207134298890495,-0.08517963732396966,0.19933995528946205
median_intensity,0.048367311203444646,0.018318157023194115,-0.03004915418025053,0.37873010855957595
grad_mean,0.09149186515663832,0.014941045718720345,-0.07655081943791797,0.1633046358053503
mean_intensity,0.10185843689019736,0.01345023321596451,-0.08840820367423284,0.13204829787768796
