feature,plain_cover_mean,plain_stego_mean,plain_delta_mean,plain_mean_abs_delta,plain_fraction_positive_delta,plain_fraction_negative_delta,white_cover_mean,white_stego_mean,white_delta_mean,white_mean_abs_delta,white_fraction_positive_delta,white_fraction_negative_delta,abs_plain_delta_mean,abs_white_delta_mean,delta_mean_attenuation_ratio,delta_mean_reduction_pct
lsb_mean,0.5016254243396577,0.49702308291480657,-0.00460234142485119,0.00460234142485119,0.0,1.0,0.5016254243396577,0.5017046247209821,7.920038132440477e-05,0.0006256103515625,0.47619047619047616,0.47619047619047616,0.00460234142485119,7.920038132440477e-05,0.017208714868379604,98.27912851316204
lsb_v_agreement,0.5601350957049487,0.563000408496732,0.002865312791783391,0.002865312791783391,1.0,0.0,0.5601350957049487,0.5596478174603174,-0.00048727824463120256,0.0007002801120448208,0.14285714285714285,0.8571428571428571,0.002865312791783391,0.00048727824463120256,0.17006109973698752,82.99389002630124
lsb_h_agreement,0.5447748891223154,0.5477598330999067,0.0029849439775910445,0.0029849439775910445,1.0,0.0,0.5447748891223154,0.544109623015873,-0.000665266106442564,0.0007265406162464828,0.14285714285714285,0.8095238095238095,0.0029849439775910445,0.000665266106442564,0.22287390021858416,77.71260997814157
pair_balance_mean,0.0004038810729980469,0.00041094280424572175,7.0617312476748515e-06,1.1761983235677084e-05,0.7619047619047619,0.23809523809523808,0.0004038810729980469,0.0004012017022995722,-2.679370698474702e-06,7.175263904389881e-06,0.2857142857142857,0.7142857142857143,7.0617312476748515e-06,2.679370698474702e-06,0.37942116813575205,62.0578831864248
pair_balance_std,0.0007493554656453521,0.0007521611917975424,2.8057261521902725e-06,9.862370554112905e-06,0.5714285714285714,0.42857142857142855,0.0007493554656453521,0.000747588192871913,-1.767272773439048e-06,6.0254091786267036e-06,0.3333333333333333,0.6666666666666666,2.8057261521902725e-06,1.767272773439048e-06,0.6298804828756916,37.011951712430836
coarse_hist_bin_15,0.012688046409970238,0.012678600492931548,-9.445917038690477e-06,9.445917038690477e-06,0.0,0.38095238095238093,0.012688046409970238,0.012677147274925596,-1.0899135044642857e-05,1.0899135044642857e-05,0.0,0.3333333333333333,9.445917038690477e-06,1.0899135044642857e-05,1.1538460316932675,-15.384603169326748
pair_balance_max,0.0062408447265625,0.006247384207589286,6.539481026785714e-06,0.00010245186941964286,0.47619047619047616,0.47619047619047616,0.0062408447265625,0.006203787667410714,-3.705705915178571e-05,8.937290736607142e-05,0.2857142857142857,0.6190476190476191,6.539481026785714e-06,3.705705915178571e-05,5.6666658001352435,-466.66658001352437
