rank,row,col,utility,suitability,basis_match
3881,185,66,0.47652003,0.19464621,1
3882,20,131,0.47652003,0.19464621,1
3883,25,128,0.47652003,0.19464621,1
3884,63,31,0.47652003,0.19464621,1
3885,63,32,0.47652003,0.19464621,1
3886,24,187,0.47652003,0.19464621,1
3887,194,125,0.47652003,0.19464621,1
3888,194,124,0.47652003,0.19464621,1
3889,28,126,0.47652003,0.19464621,1
3890,65,159,0.47652003,0.19464621,1
3891,22,128,0.47652003,0.19464621,1
3892,64,156,0.47652003,0.19464621,1
3893,64,157,0.47652003,0.19464621,1
3894,107,189,0.47652003,0.19464621,1
3895,63,34,0.47652003,0.19464621,1
3896,195,126,0.47652003,0.19464621,1
3897,63,33,0.47652003,0.19464621,1
3898,195,127,0.47652003,0.19464621,1
3899,186,66,0.47652003,0.19464621,1
3900,65,34,0.47652003,0.19464621,1
3901,233,158,0.47652003,0.19464621,1
3902,64,32,0.47652003,0.19464621,1
3903,65,32,0.47652003,0.19464621,1
3904,65,33,0.47652003,0.19464621,1
3905,65,35,0.47652003,0.19464621,1
3906,148,30,0.47652003,0.19464621,1
3907,148,29,0.47652003,0.19464621,1
3908,22,130,0.47652003,0.19464621,1
3909,148,31,0.47652003,0.19464621,1
3910,233,159,0.47652003,0.19464621,1
3911,188,67,0.47652003,0.19464621,1
3912,188,65,0.47652003,0.19464621,1
3913,188,66,0.47652003,0.19464621,1
3914,84,247,0.47652003,0.19464621,1
3915,83,8,0.47652003,0.19464621,1
3916,234,158,0.47652003,0.19464621,1
3917,80,247,0.47652003,0.19464621,1
3918,233,160,0.47652003,0.19464621,1
3919,234,160,0.47652003,0.19464621,1
3920,234,159,0.47652003,0.19464621,1
3921,83,247,0.47652003,0.19464621,1
3922,21,131,0.47652003,0.19464621,1
3923,21,129,0.47652003,0.19464621,1
3924,189,64,0.47652003,0.19464621,1
3925,26,126,0.47652003,0.19464621,1
3926,13,33,0.476491,0.19460155,1
3927,114,155,0.47647887,0.1945829,1
3928,30,190,0.47646567,0.1945626,1
3929,28,191,0.47639996,0.1944615,1
