feature,cover_mean,stego_mean,delta_mean,mean_abs_delta,fraction_positive_delta,fraction_negative_delta
lsb_mean,0.5016254243396577,0.5017046247209821,7.920038132440477e-05,0.0006256103515625,0.47619047619047616,0.47619047619047616
lsb_h_agreement,0.5447748891223154,0.544109623015873,-0.000665266106442564,0.0007265406162464828,0.14285714285714285,0.8095238095238095
lsb_v_agreement,0.5601350957049487,0.5596478174603174,-0.00048727824463120256,0.0007002801120448208,0.14285714285714285,0.8571428571428571
pair_balance_mean,0.0004038810729980469,0.0004012017022995722,-2.679370698474702e-06,7.175263904389881e-06,0.2857142857142857,0.7142857142857143
pair_balance_std,0.0007493554656453521,0.000747588192871913,-1.767272773439048e-06,6.0254091786267036e-06,0.3333333333333333,0.6666666666666666
pair_balance_max,0.0062408447265625,0.006203787667410714,-3.705705915178571e-05,8.937290736607142e-05,0.2857142857142857,0.6190476190476191
coarse_hist_bin_15,0.012688046409970238,0.012677147274925596,-1.0899135044642857e-05,1.0899135044642857e-05,0.0,0.3333333333333333
