cover_name,source_group,image_role,variant,label,mean_intensity,std_intensity,median_intensity,mad_intensity,lsb_mean,lsb_h_agreement,lsb_v_agreement,pair_balance_mean,pair_balance_std,pair_balance_max,pair_mass_std,residual_mean,residual_std,residual_mean_abs,residual_skew,residual_excess_kurtosis,lap_mean,lap_std,lap_mean_abs,lap_skew,lap_excess_kurtosis,grad_mean,grad_std,grad_skew,grad_excess_kurtosis,coarse_hist_bin_00,coarse_hist_bin_01,coarse_hist_bin_02,coarse_hist_bin_03,coarse_hist_bin_04,coarse_hist_bin_05,coarse_hist_bin_06,coarse_hist_bin_07,coarse_hist_bin_08,coarse_hist_bin_09,coarse_hist_bin_10,coarse_hist_bin_11,coarse_hist_bin_12,coarse_hist_bin_13,coarse_hist_bin_14,coarse_hist_bin_15
00006.png,00006.png,cover,whitened_payload,0,171.1133270263672,57.39979553222656,187.0,34.0,0.5006256103515625,0.5380208333333333,0.5511642156862745,0.00036525726318359375,0.0003447542546681499,0.0017242431640625,0.006255973547073926,-0.00174713134765625,2.16031667914616,1.1830215454101562,0.06722004537722603,13.43795267104818,-0.006988525390625,8.64126671658464,4.732086181640625,0.06722004537722603,13.43795267104818,5.752218951100076,8.18526125465636,3.0769146012453743,11.303061650495177,0.0012359619140625,0.01947021484375,0.0311279296875,0.04150390625,0.0181884765625,0.0213775634765625,0.0225830078125,0.03155517578125,0.056793212890625,0.0984954833984375,0.08343505859375,0.10797119140625,0.143218994140625,0.1531524658203125,0.1335906982421875,0.0363006591796875
00006.png,00006.png,stego,whitened_payload,1,171.1133270263672,57.38653564453125,187.0,34.0,0.5004425048828125,0.5376531862745098,0.5501838235294118,0.0003714561462402344,0.00034180644087944184,0.001708984375,0.0062554702205648485,-0.00174713134765625,2.150149974306349,1.17816162109375,0.057311506268636764,13.555134884193954,-0.006988525390625,8.600599897225395,4.712646484375,0.057311506268636764,13.555134884193954,5.746019738780888,8.148778514251184,3.058672115256167,11.162255276950923,0.0011749267578125,0.01947021484375,0.0310516357421875,0.041534423828125,0.0182342529296875,0.0213470458984375,0.022613525390625,0.0316925048828125,0.056732177734375,0.0986175537109375,0.0833892822265625,0.10797119140625,0.143218994140625,0.153076171875,0.13360595703125,0.0362701416015625
00010.png,00010.png,cover,whitened_payload,0,108.62278747558594,61.84020233154297,115.0,56.0,0.5032196044921875,0.5311580882352941,0.5674325980392156,0.0003457069396972656,0.00039856028182519725,0.0027618408203125,0.004815658326359736,-0.001529693603515625,3.2739791307482515,1.7828407287597656,-0.6120136675282948,9.497873479575688,-0.0061187744140625,13.095916522993006,7.1313629150390625,-0.6120136675282948,9.497873479575688,7.475342345953322,10.210175606913007,2.621171304018846,7.7486493933943095,0.020660400390625,0.1168060302734375,0.0967559814453125,0.089385986328125,0.0805206298828125,0.036895751953125,0.0441436767578125,0.071380615234375,0.1070404052734375,0.078857421875,0.085296630859375,0.080718994140625,0.0519256591796875,0.0207061767578125,0.0142669677734375,0.004638671875
00010.png,00010.png,stego,whitened_payload,1,108.622802734375,61.826202392578125,115.0,56.0,0.503204345703125,0.5307598039215686,0.5672487745098039,0.00033354759216308594,0.0003897891488500644,0.002685546875,0.004817045506573121,-0.001529693603515625,3.2581571103244085,1.7738380432128906,-0.6181840672344439,9.57493494345236,-0.0061187744140625,13.032628441297634,7.0953521728515625,-0.6181840672344439,9.57493494345236,7.4675956248274815,10.17141199570033,2.610184113969564,7.686918815297755,0.020660400390625,0.11669921875,0.0968017578125,0.08935546875,0.08056640625,0.0369110107421875,0.04400634765625,0.0715484619140625,0.1070098876953125,0.078704833984375,0.0856475830078125,0.0807037353515625,0.0518951416015625,0.0206146240234375,0.0142364501953125,0.004638671875
00011.png,00011.png,cover,whitened_payload,0,151.02346801757812,64.90214538574219,154.0,50.0,0.526123046875,0.5641850490196079,0.5748314950980392,0.0007412433624267578,0.004636104090026379,0.052764892578125,0.006498495222600701,0.00160980224609375,2.3333745122610186,1.289947509765625,0.18148054752832174,14.209113894349962,0.006439208984375,9.333498049044074,5.1597900390625,0.18148054752832174,14.209113894349962,6.444006210976113,9.18940136624855,3.03983883341388,11.767914892267022,0.0035400390625,0.0309295654296875,0.01763916015625,0.0241546630859375,0.102386474609375,0.066497802734375,0.0625152587890625,0.07080078125,0.07110595703125,0.0814666748046875,0.0895843505859375,0.102783203125,0.0602264404296875,0.037261962890625,0.0373077392578125,0.1417999267578125
00011.png,00011.png,stego,whitened_payload,1,151.02346801757812,64.89051818847656,154.0,50.0,0.526336669921875,0.5628063725490197,0.5741268382352941,0.0007548332214355469,0.004626704898570882,0.0526580810546875,0.006494796287809468,0.00160980224609375,2.322274101664851,1.2836990356445312,0.17394077231038454,14.263867304964819,0.006439208984375,9.289096406659404,5.134796142578125,0.17394077231038454,14.263867304964819,6.439210022455882,9.156442394253437,3.0258610089076274,11.666967756966324,0.0035400390625,0.0309295654296875,0.0176239013671875,0.024139404296875,0.1023406982421875,0.06646728515625,0.062469482421875,0.0709381103515625,0.0711822509765625,0.0815582275390625,0.0894317626953125,0.102752685546875,0.06036376953125,0.037261962890625,0.0372772216796875,0.1417236328125
00012.png,00012.png,cover,whitened_payload,0,142.05308532714844,64.01798248291016,144.0,51.0,0.5031280517578125,0.5615042892156863,0.6291819852941176,0.00039267539978027344,0.0004991152160978433,0.0034637451171875,0.006220409576426858,0.00354766845703125,2.4110849139224073,1.2519912719726562,0.2840936718004852,14.519738275937716,0.014190673828125,9.64433965568963,5.007965087890625,0.2840936718004852,14.519738275937716,5.79237800404826,9.372423153730859,2.9346222184354573,10.183074994043611,0.053375244140625,0.0402679443359375,0.0278778076171875,0.0187225341796875,0.0231781005859375,0.0484161376953125,0.084503173828125,0.1091461181640625,0.090972900390625,0.0463714599609375,0.0363006591796875,0.097808837890625,0.1630401611328125,0.1345367431640625,0.0169525146484375,0.0085296630859375
00012.png,00012.png,stego,whitened_payload,1,142.05307006835938,64.00616455078125,144.0,51.0,0.502685546875,0.5615042892156863,0.62890625,0.00038170814514160156,0.0004874124261814539,0.003387451171875,0.006218714463081342,0.00354766845703125,2.4006343167564594,1.2453536987304688,0.283405888517827,14.703932375251743,0.014190673828125,9.602537267025838,4.981414794921875,0.283405888517827,14.703932375251743,5.78730081699905,9.339687738185853,2.923983639662942,10.123647730735865,0.0533599853515625,0.0402374267578125,0.0278472900390625,0.01861572265625,0.023345947265625,0.0483856201171875,0.084564208984375,0.10906982421875,0.0909576416015625,0.0464019775390625,0.0364837646484375,0.09771728515625,0.1630706787109375,0.1345062255859375,0.0169219970703125,0.008514404296875
00013.png,00013.png,cover,whitened_payload,0,102.88893127441406,61.12651824951172,102.0,51.0,0.5009002685546875,0.5209558823529412,0.537545955882353,0.0002868175506591797,0.0002588614282709111,0.0012054443359375,0.003645521584164685,0.00247955322265625,3.158348904413686,1.8812408447265625,-0.1331391826197377,5.522145062701627,0.009918212890625,12.633395617654744,7.52496337890625,-0.1331391826197377,5.522145062701627,8.852181466184447,9.774664819989125,2.015045437453337,4.625994279650145,0.0650634765625,0.0881500244140625,0.0958099365234375,0.073822021484375,0.072174072265625,0.072967529296875,0.0768890380859375,0.0913848876953125,0.0871124267578125,0.065277099609375,0.0528411865234375,0.0637359619140625,0.054840087890625,0.0260162353515625,0.0133056640625,0.0006103515625
00013.png,00013.png,stego,whitened_payload,1,102.88894653320312,61.11467742919922,102.0,51.0,0.501068115234375,0.5208026960784313,0.536657475490196,0.0002853870391845703,0.00025587179213632807,0.00115966796875,0.0036471618136474713,0.00247955322265625,3.148013338151862,1.8736724853515625,-0.1337043186925149,5.598782732417687,0.009918212890625,12.592053352607447,7.49468994140625,-0.1337043186925149,5.598782732417687,8.845061887002885,9.740649442484374,2.0014339923503246,4.551102139954404,0.06500244140625,0.0881805419921875,0.09576416015625,0.073760986328125,0.072265625,0.07281494140625,0.077056884765625,0.091461181640625,0.087127685546875,0.065216064453125,0.053009033203125,0.0637664794921875,0.0546875,0.025970458984375,0.0133209228515625,0.0005950927734375
