rank,row,col,utility,suitability,basis_match,block_row,block_col
446,101,80,0.75070024,0.616462,1,6,5
447,190,204,0.7504342,0.6160527,1,11,12
448,77,68,0.7503903,0.6159851,1,4,4
449,174,211,0.75023264,0.61574256,1,10,13
450,79,58,0.7497056,0.61493176,1,4,3
451,176,164,0.748171,0.61257076,1,11,10
452,162,168,0.7480811,0.61243254,1,10,10
453,73,78,0.7475656,0.61163944,1,4,4
454,104,85,0.7473141,0.6112524,1,6,5
455,176,162,0.7471873,0.61105746,1,11,10
456,182,180,0.7470906,0.61090857,1,11,11
457,70,83,0.74653053,0.610047,1,4,5
458,81,88,0.7455079,0.6084737,1,5,5
459,174,212,0.7451223,0.60788053,1,10,13
460,83,78,0.744715,0.60725385,1,5,4
461,181,196,0.7443701,0.6067233,1,11,12
462,158,189,0.7442689,0.6065675,1,9,11
463,184,170,0.74405533,0.606239,1,11,10
464,167,194,0.74378633,0.6058252,1,10,12
465,76,86,0.7436291,0.6055833,1,4,5
466,193,203,0.7434614,0.60532516,1,12,12
467,154,190,0.7432126,0.6049425,1,9,11
468,101,92,0.7431917,0.6049104,1,6,5
469,189,166,0.74309987,0.60476905,1,11,10
470,174,165,0.74233365,0.60359025,1,10,10
471,199,171,0.7422692,0.6034911,1,12,10
472,167,156,0.74225235,0.60346514,1,10,9
473,147,194,0.7422066,0.60339475,1,9,12
474,98,61,0.74204886,0.6031521,1,6,3
475,183,197,0.7418623,0.60286504,1,11,12
476,181,156,0.74156535,0.60240823,1,11,9
477,83,87,0.74137247,0.60211146,1,5,5
478,90,77,0.7412932,0.60198957,1,5,4
479,152,174,0.7410537,0.60162115,1,9,10
480,200,169,0.7407569,0.6011645,1,12,10
481,192,165,0.74041975,0.6006458,1,12,10
482,155,189,0.7402346,0.600361,1,9,11
483,200,193,0.7402135,0.6003285,1,12,12
484,149,197,0.7396352,0.5994389,1,9,12
485,189,186,0.7395035,0.5992362,1,11,11
486,91,81,0.7393842,0.59905255,1,5,5
487,72,81,0.7392186,0.59879786,1,4,5
488,90,60,0.7385731,0.5978047,1,5,3
489,193,186,0.73856187,0.59778756,1,12,11
490,186,199,0.7384926,0.5976809,1,11,12
491,82,84,0.73848486,0.59766906,1,5,5
492,180,192,0.7384329,0.5975891,1,11,12
493,148,171,0.7381286,0.59712094,1,9,10
494,188,200,0.7381135,0.5970977,1,11,12
495,175,189,0.73795325,0.59685117,1,10,11
496,173,203,0.73779494,0.5966076,1,10,12
497,200,198,0.7376139,0.5963291,1,12,12
498,79,75,0.73757005,0.5962617,1,4,4
499,200,171,0.73740405,0.5960063,1,12,10
500,188,185,0.7373163,0.59587127,1,11,11
501,174,202,0.7371868,0.5956721,1,10,12
502,105,78,0.73702884,0.595429,1,6,4
503,101,90,0.7369374,0.5952884,1,6,5
504,180,158,0.7367433,0.59498966,1,11,9
505,76,82,0.7365358,0.59467053,1,4,5
506,195,192,0.73647547,0.59457767,1,12,12
507,88,69,0.7361082,0.5940127,1,5,4
508,184,180,0.7360349,0.5938999,1,11,11
509,149,171,0.7359513,0.5937713,1,9,10
510,166,172,0.73590505,0.5937002,1,10,10
511,175,211,0.73583066,0.59358567,1,10,13
512,174,189,0.73576117,0.5934788,1,10,11
513,78,68,0.73562855,0.5932747,1,4,4
514,69,72,0.73546886,0.5930291,1,4,4
515,164,194,0.735289,0.5927523,1,10,12
516,187,198,0.7352308,0.5926628,1,11,12
517,93,78,0.7347183,0.5918744,1,5,4
518,152,193,0.734498,0.5915355,1,9,12
519,86,88,0.73444283,0.5914505,1,5,5
520,100,71,0.73422945,0.5911222,1,6,4
521,175,212,0.7341699,0.59103066,1,10,13
522,175,165,0.734154,0.59100616,1,10,10
523,88,72,0.73390424,0.590622,1,5,4
524,170,183,0.73389953,0.5906147,1,10,11
525,176,189,0.733681,0.5902785,1,11,11
526,186,166,0.73353934,0.5900606,1,11,10
527,187,169,0.73346794,0.58995074,1,11,10
528,200,181,0.73346376,0.58994424,1,12,11
529,76,79,0.7334298,0.58989197,1,4,4
530,166,157,0.73300153,0.58923316,1,10,9
531,108,76,0.73281527,0.58894664,1,6,4
532,188,199,0.7327082,0.58878195,1,11,12
533,180,159,0.7326553,0.5887004,1,11,9
534,156,203,0.7326367,0.5886718,1,9,12
535,184,157,0.73260903,0.58862936,1,11,9
536,82,63,0.7325707,0.58857036,1,5,3
537,151,193,0.73245263,0.5883887,1,9,12
538,196,174,0.7324365,0.5883638,1,12,10
539,149,181,0.73236465,0.5882533,1,9,11
540,106,81,0.73215544,0.58793145,1,6,5
541,181,193,0.7320945,0.5878377,1,11,12
542,157,210,0.732059,0.5877831,1,9,13
543,199,166,0.7318498,0.58746123,1,12,10
544,184,172,0.731838,0.58744305,1,11,10
545,108,77,0.7318075,0.5873961,1,6,4
546,145,185,0.7313648,0.5867151,1,9,11
547,189,185,0.73131025,0.5866311,1,11,11
548,184,179,0.73114455,0.58637625,1,11,11
549,84,66,0.7311444,0.5863761,1,5,4
550,170,184,0.73098236,0.58612674,1,10,11
551,74,84,0.730837,0.5859031,1,4,5
552,180,193,0.73044616,0.5853018,1,11,12
553,177,190,0.7302921,0.5850647,1,11,11
554,155,162,0.73018074,0.5848935,1,9,10
555,182,170,0.7300037,0.5846211,1,11,10
556,164,196,0.7299124,0.58448064,1,10,12
557,95,58,0.72979224,0.58429575,1,5,3
558,157,202,0.7292396,0.58344555,1,9,12
559,72,87,0.7291715,0.5833409,1,4,5
560,161,166,0.7291628,0.5833275,1,10,10
561,81,69,0.7289754,0.5830391,1,5,4
562,101,91,0.7289753,0.583039,1,6,5
563,180,175,0.7288914,0.5829098,1,11,10
564,165,172,0.7285325,0.5823577,1,10,10
565,160,167,0.7284128,0.5821736,1,10,10
566,161,183,0.728243,0.58191234,1,10,11
