split_index,feature,coef,abs_coef
1,mean_intensity,-0.09704062888284613,0.09704062888284613
1,std_intensity,0.1398150247043565,0.1398150247043565
1,median_intensity,-0.06797167567395282,0.06797167567395282
1,mad_intensity,0.12573080880446655,0.12573080880446655
1,lsb_mean,-2.3269659177090287,2.3269659177090287
1,lsb_h_agreement,0.3239302519456164,0.3239302519456164
1,lsb_v_agreement,0.4564282710275492,0.4564282710275492
1,pair_balance_mean,-0.05398733346717052,0.05398733346717052
1,pair_balance_std,-0.2592274485226869,0.2592274485226869
1,pair_balance_max,-0.375441469198549,0.375441469198549
1,pair_mass_std,-0.14477868827475193,0.14477868827475193
1,residual_mean,-0.002031712525146863,0.002031712525146863
1,residual_std,0.1193685912977799,0.1193685912977799
1,residual_mean_abs,-0.05626244468389218,0.05626244468389218
1,residual_skew,-0.19298245513765855,0.19298245513765855
1,residual_excess_kurtosis,0.08317892522114424,0.08317892522114424
1,lap_mean,-0.002031712525146863,0.002031712525146863
1,lap_std,0.1193685912977799,0.1193685912977799
1,lap_mean_abs,-0.05626244468389218,0.05626244468389218
1,lap_skew,-0.19298245513765855,0.19298245513765855
1,lap_excess_kurtosis,0.08317892522114424,0.08317892522114424
1,grad_mean,-0.11175417796078144,0.11175417796078144
1,grad_std,0.011440815341513411,0.011440815341513411
1,grad_skew,0.13198292012513502,0.13198292012513502
1,grad_excess_kurtosis,0.06758053574206174,0.06758053574206174
1,coarse_hist_bin_00,0.11010790167270029,0.11010790167270029
1,coarse_hist_bin_01,0.13906438704696195,0.13906438704696195
1,coarse_hist_bin_02,0.2504914668804925,0.2504914668804925
1,coarse_hist_bin_03,-0.04829907092867907,0.04829907092867907
1,coarse_hist_bin_04,-0.21401117182375867,0.21401117182375867
1,coarse_hist_bin_05,0.12697449479326342,0.12697449479326342
1,coarse_hist_bin_06,0.07944454062522423,0.07944454062522423
1,coarse_hist_bin_07,-0.037574481334705936,0.037574481334705936
1,coarse_hist_bin_08,-0.02809976435280856,0.02809976435280856
1,coarse_hist_bin_09,-0.505498029138487,0.505498029138487
1,coarse_hist_bin_10,-0.04929831831528135,0.04929831831528135
1,coarse_hist_bin_11,-0.021377261198926342,0.021377261198926342
1,coarse_hist_bin_12,-0.04219339867126395,0.04219339867126395
1,coarse_hist_bin_13,-0.15530614890170882,0.15530614890170882
1,coarse_hist_bin_14,0.1708295646226599,0.1708295646226599
1,coarse_hist_bin_15,0.14741939599639484,0.14741939599639484
2,mean_intensity,0.1182594259701557,0.1182594259701557
2,std_intensity,0.3244025490952306,0.3244025490952306
2,median_intensity,-0.01709484082427245,0.01709484082427245
2,mad_intensity,0.3409091549700459,0.3409091549700459
2,lsb_mean,-2.401020331802415,2.401020331802415
2,lsb_h_agreement,0.23095440930951788,0.23095440930951788
2,lsb_v_agreement,0.2792399582604968,0.2792399582604968
2,pair_balance_mean,0.14914451248360658,0.14914451248360658
2,pair_balance_std,0.051351157391158614,0.051351157391158614
2,pair_balance_max,0.270407115886369,0.270407115886369
2,pair_mass_std,-0.41426134289701577,0.41426134289701577
2,residual_mean,0.03090320843251837,0.03090320843251837
2,residual_std,0.06466647673002623,0.06466647673002623
2,residual_mean_abs,0.0075679260342766275,0.0075679260342766275
2,residual_skew,-0.15972502756654655,0.15972502756654655
2,residual_excess_kurtosis,-0.030317638684495662,0.030317638684495662
2,lap_mean,0.03090320843251837,0.03090320843251837
2,lap_std,0.06466647673002623,0.06466647673002623
2,lap_mean_abs,0.0075679260342766275,0.0075679260342766275
2,lap_skew,-0.15972502756654655,0.15972502756654655
2,lap_excess_kurtosis,-0.030317638684495662,0.030317638684495662
2,grad_mean,0.03308686654588924,0.03308686654588924
2,grad_std,0.10230264320985938,0.10230264320985938
2,grad_skew,0.23114115112055503,0.23114115112055503
2,grad_excess_kurtosis,0.23635202377986853,0.23635202377986853
2,coarse_hist_bin_00,-0.365619904799971,0.365619904799971
2,coarse_hist_bin_01,0.015833680569879712,0.015833680569879712
2,coarse_hist_bin_02,0.023167523115661788,0.023167523115661788
2,coarse_hist_bin_03,-0.1490963266476961,0.1490963266476961
2,coarse_hist_bin_04,0.3257817041715548,0.3257817041715548
2,coarse_hist_bin_05,-0.036384695791042164,0.036384695791042164
2,coarse_hist_bin_06,0.0569987850282307,0.0569987850282307
2,coarse_hist_bin_07,-0.04239874911138867,0.04239874911138867
2,coarse_hist_bin_08,-0.2424420297262525,0.2424420297262525
2,coarse_hist_bin_09,-0.028620002610981278,0.028620002610981278
