feature,mean_coef,mean_abs_coef,std_coef
lsb_mean,-2.3023734048545186,2.3023734048545186,0.0706760670254542
pair_balance_max,0.26703824937321907,0.332040475075965,0.2509769443215657
coarse_hist_bin_15,0.2229771481924997,0.31878344485921084,0.2859324556132958
pair_balance_mean,0.2668974119712377,0.28783430056406284,0.18482397437256404
pair_balance_std,0.2057798667481301,0.27795594083592423,0.2523930880767054
lsb_v_agreement,0.27423057021527625,0.27423057021527625,0.13560925296388812
pair_mass_std,-0.2524666429551326,0.2550466085178751,0.17853068627334834
lsb_h_agreement,0.22061763062364434,0.2254138738740975,0.1449022789392477
coarse_hist_bin_00,-0.19888789482188035,0.21565582561565502,0.13687235548958776
coarse_hist_bin_09,-0.1079295475245431,0.16756770673165736,0.17885797755852156
coarse_hist_bin_12,-0.09189089172586833,0.15872697991366777,0.17059759148448364
coarse_hist_bin_04,0.1001962242111689,0.14650447228347377,0.1531176335737965
mad_intensity,0.11775216335447544,0.14251279739210249,0.125280886297386
coarse_hist_bin_13,-0.024810154912892565,0.14022262144913272,0.16982262768697104
std_intensity,0.12464352912009029,0.1317647627682208,0.10706875175687759
coarse_hist_bin_08,-0.017058330227924717,0.1298816959090166,0.15944765196761435
coarse_hist_bin_01,-0.007616549523841291,0.12645701780724766,0.15838018705652726
grad_skew,0.04752389605576967,0.12481984838780999,0.1442591628086809
residual_skew,-0.0840840960231089,0.11960445108672606,0.117391234384252
lap_skew,-0.0840840960231089,0.11960445108672606,0.117391234384252
coarse_hist_bin_14,0.09366150724246528,0.11717528510193802,0.127229963862473
coarse_hist_bin_02,0.0902210608443938,0.11373266779612623,0.10559807399145389
coarse_hist_bin_05,-0.028190211970332606,0.10872037293170995,0.12690756751719534
residual_mean,0.08800385857337441,0.10692276795880395,0.1014004357915257
lap_mean,0.08800385857337441,0.10692276795880395,0.1014004357915257
grad_excess_kurtosis,0.06277646897681309,0.10685608788876977,0.1161011956767791
coarse_hist_bin_10,-0.03031158670730892,0.1063040093213727,0.13481062719778186
coarse_hist_bin_03,-0.07125301866869668,0.09997936198997631,0.10385241752892137
residual_excess_kurtosis,0.06016045759583595,0.09420097582503133,0.10403908217737382
lap_excess_kurtosis,0.06016045759583595,0.09420097582503133,0.10403908217737382
coarse_hist_bin_07,0.008317035048152949,0.09071032179462929,0.10884752664526944
coarse_hist_bin_11,0.031902634941451444,0.0894406706388624,0.10489971470223944
mean_intensity,0.06724604509636746,0.08575576220220066,0.0688215325554979
coarse_hist_bin_06,0.06143688058536333,0.08554012121394243,0.08714264719305055
grad_mean,0.04235060831994068,0.08125422808142614,0.08369795700402015
lap_std,0.01702457170917075,0.06947795715711214,0.0817375060569047
residual_std,0.01702457170917075,0.06947795715711214,0.0817375060569047
lap_mean_abs,-0.02456346358502952,0.057322435910237564,0.0712945330721176
residual_mean_abs,-0.02456346358502952,0.057322435910237564,0.0712945330721176
grad_std,-0.019810441316432063,0.05510590380803345,0.06667602712501765
median_intensity,-0.0017001381708267424,0.04750143267045931,0.058996195584871645
