rank,row,col,utility,suitability,basis_match,block_row,block_col
410,85,78,0.78393567,0.6675933,1,5,4
411,88,87,0.7836172,0.6671034,1,5,5
412,73,83,0.78356934,0.66702974,1,4,5
413,150,194,0.7834197,0.6667996,1,9,12
414,76,68,0.7832331,0.6665125,1,4,4
415,88,94,0.78320783,0.6664736,1,5,5
416,98,78,0.7831298,0.66635364,1,6,4
417,104,72,0.7831,0.6663078,1,6,4
418,101,82,0.782967,0.666103,1,6,5
419,87,82,0.7826928,0.6656813,1,5,5
420,191,159,0.7825837,0.66551346,1,11,9
421,200,180,0.7824695,0.6653377,1,12,11
422,190,188,0.78237575,0.6651935,1,11,11
423,102,73,0.78230464,0.66508406,1,6,4
424,97,86,0.7821982,0.6649204,1,6,5
425,90,59,0.7821446,0.6648379,1,5,3
426,173,163,0.7815129,0.66386604,1,10,10
427,75,66,0.78147703,0.66381085,1,4,4
428,200,179,0.78143597,0.6637477,1,12,11
429,153,176,0.7811905,0.6633701,1,9,11
430,90,80,0.7811834,0.66335917,1,5,5
431,83,93,0.7808476,0.6628425,1,5,5
432,87,81,0.7806405,0.66252387,1,5,5
433,83,85,0.78051054,0.662324,1,5,5
434,157,186,0.78050387,0.66231364,1,9,11
435,70,72,0.78049225,0.6622958,1,4,4
436,87,79,0.7804549,0.6622383,1,5,4
437,92,63,0.7803892,0.6621372,1,5,3
438,193,160,0.7799524,0.6614653,1,12,10
439,182,156,0.7797633,0.6611743,1,11,9
440,91,64,0.7796372,0.6609804,1,5,4
441,157,164,0.7795049,0.66077685,1,9,10
442,86,90,0.7791606,0.6602471,1,5,5
443,100,59,0.7791482,0.66022813,1,6,3
444,100,70,0.7789532,0.6599281,1,6,4
445,97,94,0.7787436,0.6596056,1,6,5
446,70,73,0.7785671,0.659334,1,4,4
447,190,186,0.77822626,0.6588096,1,11,11
448,89,61,0.77800107,0.65846324,1,5,3
449,95,75,0.77756894,0.65779835,1,5,4
450,90,66,0.7774411,0.6576017,1,5,4
451,174,186,0.77742285,0.65757364,1,10,11
452,92,72,0.77737015,0.6574926,1,5,4
453,191,204,0.7772525,0.65731156,1,11,12
454,87,80,0.77718824,0.65721273,1,5,5
455,145,182,0.7770641,0.65702176,1,9,11
456,173,187,0.777028,0.6569662,1,10,11
457,73,73,0.7768474,0.6566884,1,4,4
458,182,171,0.7767939,0.656606,1,11,10
459,108,68,0.77624583,0.6557629,1,6,4
460,191,202,0.7761416,0.65560246,1,11,12
461,95,91,0.7760627,0.6554812,1,5,5
462,88,78,0.7760459,0.65545535,1,5,4
463,73,82,0.7758707,0.6551857,1,4,5
464,102,85,0.7757403,0.65498513,1,6,5
465,91,84,0.77567124,0.6548789,1,5,5
466,69,76,0.7756336,0.65482086,1,4,4
467,178,191,0.77545404,0.6545448,1,11,11
468,69,78,0.77545404,0.6545448,1,4,4
469,183,156,0.77538455,0.65443784,1,11,9
470,87,76,0.7752681,0.65425867,1,5,4
471,100,66,0.77508754,0.65398085,1,6,4
472,78,94,0.77489495,0.6536846,1,4,5
473,77,64,0.77482224,0.6535727,1,4,4
474,199,179,0.77482074,0.6535704,1,12,11
475,83,74,0.7747422,0.65344954,1,5,4
476,96,66,0.77461183,0.653249,1,6,4
477,82,75,0.77447,0.6530307,1,5,4
478,95,79,0.77443707,0.6529801,1,5,4
479,152,175,0.7744328,0.6529736,1,9,10
480,89,85,0.77440995,0.6529384,1,5,5
481,99,88,0.77431095,0.6527861,1,6,5
482,166,194,0.7741264,0.65250224,1,10,12
483,192,204,0.77403736,0.65236515,1,12,12
484,90,81,0.7738545,0.65208393,1,5,5
485,158,164,0.7736808,0.6518166,1,9,10
486,199,180,0.77363646,0.6517485,1,12,11
487,193,188,0.77352476,0.65157664,1,12,11
488,182,157,0.77335405,0.65131396,1,11,9
489,173,164,0.7733396,0.6512918,1,10,10
490,90,79,0.7732891,0.65121406,1,5,4
491,158,186,0.7732742,0.65119106,1,9,11
492,83,66,0.7731178,0.65095043,1,5,4
493,191,208,0.7730968,0.6509181,1,11,13
494,94,74,0.7730051,0.6507771,1,5,4
495,76,92,0.7727002,0.650308,1,4,5
496,99,59,0.77227336,0.64965135,1,6,3
497,95,68,0.7713891,0.64829105,1,5,4
498,202,193,0.7709695,0.6476455,1,12,12
499,103,72,0.7709122,0.64755726,1,6,4
500,76,91,0.7708714,0.6474945,1,4,5
501,158,163,0.77087027,0.64749277,1,9,10
502,186,168,0.7708453,0.6474544,1,11,10
503,106,68,0.77038455,0.64674544,1,6,4
504,108,67,0.7703727,0.64672726,1,6,4
505,191,158,0.7702825,0.64658844,1,11,9
506,192,186,0.77027464,0.64657634,1,12,11
507,94,84,0.77022445,0.6464992,1,5,5
508,153,191,0.7702018,0.6464644,1,9,11
509,187,184,0.770168,0.6464124,1,11,11
510,179,175,0.77012753,0.64635,1,11,10
511,97,77,0.7698094,0.6458607,1,6,4
512,81,62,0.769801,0.6458478,1,5,3
513,73,76,0.7695855,0.6455162,1,4,4
514,188,166,0.76905787,0.6447044,1,11,10
515,84,90,0.769048,0.64468926,1,5,5
516,93,63,0.76904345,0.6446823,1,5,3
517,101,84,0.76901424,0.64463735,1,6,5
518,95,71,0.7688941,0.6444525,1,5,4
519,175,162,0.76853716,0.6439034,1,10,10
520,97,72,0.7683705,0.64364696,1,6,4
521,193,162,0.7682503,0.643462,1,12,10
522,87,95,0.76768637,0.6425944,1,5,5
523,152,176,0.7675303,0.6423544,1,9,11
524,146,183,0.7672903,0.6419851,1,9,11
525,157,203,0.76728314,0.6419741,1,9,12
526,147,196,0.7672191,0.6418756,1,9,12
527,91,72,0.7671927,0.64183503,1,5,4
528,190,165,0.76707315,0.64165103,1,11,10
529,82,68,0.76705253,0.64161927,1,5,4
530,178,175,0.76694554,0.6414547,1,11,10
531,105,88,0.7666384,0.64098215,1,6,5
532,90,72,0.7663589,0.6405522,1,5,4
533,105,76,0.7662472,0.6403804,1,6,4
534,176,163,0.76603657,0.6400563,1,11,10
535,187,166,0.7659951,0.6399925,1,11,10
536,186,167,0.7656202,0.6394157,1,11,10
537,175,203,0.7655673,0.6393344,1,10,12
538,87,93,0.7654762,0.63919425,1,5,5
539,173,188,0.7653483,0.6389974,1,10,11
540,146,182,0.7653351,0.6389771,1,9,11
541,103,69,0.76521647,0.6387946,1,6,4
542,97,59,0.7648462,0.638225,1,6,3
543,70,71,0.76470566,0.6380087,1,4,4
544,98,59,0.7646712,0.6379558,1,6,3
545,94,83,0.764567,0.63779545,1,5,5
546,90,87,0.76439214,0.6375264,1,5,5
547,200,197,0.7643561,0.6374709,1,12,12
548,165,194,0.7643214,0.63741755,1,10,12
549,174,203,0.7642843,0.6373605,1,10,12
550,81,81,0.76389176,0.6367566,1,5,5
551,103,78,0.76388294,0.636743,1,6,4
552,101,81,0.76380026,0.6366159,1,6,5
553,99,71,0.7637747,0.6365765,1,6,4
554,184,194,0.7637543,0.6365451,1,11,12
555,82,91,0.7636666,0.63641024,1,5,5
556,71,71,0.7635533,0.6362359,1,4,4
557,77,63,0.7634335,0.6360516,1,4,3
558,199,167,0.7633188,0.63587505,1,12,10
559,91,78,0.76328754,0.63582706,1,5,4
560,98,70,0.7631663,0.63564056,1,6,4
561,97,87,0.7628805,0.6352008,1,6,5
562,86,66,0.76272166,0.6349564,1,5,4
563,188,168,0.7626821,0.6348955,1,11,10
564,153,192,0.76235485,0.63439214,1,9,12
565,104,86,0.76227474,0.6342688,1,6,5
566,94,62,0.7622471,0.6342263,1,5,3
567,79,78,0.762223,0.63418925,1,4,4
568,183,172,0.7621528,0.6340813,1,11,10
569,166,156,0.7621139,0.6340215,1,10,9
570,103,65,0.76210356,0.6340055,1,6,4
571,77,78,0.7620856,0.6339779,1,4,4
572,82,59,0.7619263,0.63373274,1,5,3
573,179,159,0.7618848,0.63366896,1,11,9
574,149,165,0.7618656,0.63363945,1,9,10
575,179,192,0.7617679,0.63348913,1,11,12
576,182,172,0.76174366,0.6334518,1,11,10
577,96,94,0.7616063,0.63324046,1,6,5
578,186,183,0.76148677,0.63305664,1,11,11
579,72,78,0.761455,0.6330077,1,4,4
580,108,73,0.7611129,0.6324815,1,6,4
581,101,60,0.76111156,0.63247937,1,6,3
582,79,84,0.76099575,0.6323012,1,4,5
583,75,81,0.7608559,0.63208604,1,4,5
584,73,84,0.7606994,0.6318453,1,4,5
585,191,189,0.7606046,0.6316994,1,11,11
586,201,180,0.7605996,0.6316917,1,12,11
587,104,82,0.76053774,0.6315966,1,6,5
588,193,207,0.7603626,0.63132715,1,12,12
589,148,197,0.7602867,0.6312103,1,9,12
590,87,85,0.76007503,0.6308847,1,5,5
591,183,157,0.7599018,0.6306182,1,11,9
592,76,77,0.7598984,0.630613,1,4,4
593,183,180,0.7597979,0.6304583,1,11,11
594,166,179,0.75964,0.6302154,1,10,11
595,83,60,0.7594651,0.6299463,1,5,3
596,71,85,0.75935787,0.62978137,1,4,5
597,157,189,0.75935733,0.6297806,1,9,11
598,161,167,0.75929165,0.62967944,1,10,10
599,191,165,0.7592835,0.6296669,1,11,10
600,188,183,0.759127,0.62942624,1,11,11
601,83,73,0.75909364,0.6293748,1,5,4
602,78,72,0.759061,0.6293246,1,4,4
603,202,194,0.7590176,0.6292579,1,12,12
604,72,70,0.7590128,0.6292505,1,4,4
605,200,199,0.7588953,0.6290697,1,12,12
606,96,91,0.7588204,0.62895447,1,6,5
607,86,71,0.7587806,0.62889326,1,5,4
608,73,66,0.75851536,0.6284852,1,4,4
609,195,175,0.7583604,0.6282468,1,12,10
610,153,174,0.7581637,0.6279442,1,9,10
611,196,175,0.7581536,0.6279287,1,12,10
612,176,188,0.75811565,0.6278703,1,11,11
613,80,67,0.75811315,0.62786645,1,5,4
614,154,175,0.7580625,0.6277885,1,9,10
615,102,93,0.7580613,0.62778664,1,6,5
616,104,87,0.7578665,0.627487,1,6,5
617,80,86,0.7577232,0.62726647,1,5,5
618,98,88,0.7576064,0.6270868,1,6,5
619,101,68,0.757506,0.6269323,1,6,4
620,79,60,0.75729895,0.62661386,1,4,3
621,94,76,0.7571205,0.62633926,1,5,4
622,189,165,0.7568958,0.62599355,1,11,10
623,90,93,0.75687057,0.62595475,1,5,5
624,179,176,0.7565119,0.62540305,1,11,11
625,81,75,0.75646996,0.62533844,1,5,4
626,181,194,0.756404,0.6252369,1,11,12
627,184,171,0.7560524,0.624696,1,11,10
628,147,180,0.755848,0.62438154,1,9,11
629,166,180,0.75543714,0.62374943,1,10,11
630,181,157,0.75521576,0.62340885,1,11,9
631,173,186,0.7552073,0.6233959,1,10,11
632,152,192,0.75504035,0.623139,1,9,12
633,89,94,0.7549831,0.623051,1,5,5
634,72,71,0.7549573,0.62301135,1,4,4
635,98,71,0.7549478,0.62299657,1,6,4
636,95,81,0.75465894,0.6225522,1,5,5
637,98,95,0.7546252,0.6225003,1,6,5
638,83,81,0.75414586,0.62176293,1,5,5
639,90,82,0.753904,0.62139076,1,5,5
640,183,170,0.75381243,0.6212499,1,11,10
641,165,179,0.7537323,0.6211267,1,10,11
642,196,176,0.7536621,0.62101865,1,12,11
643,178,176,0.75362384,0.6209598,1,11,11
644,149,178,0.7535857,0.6209011,1,9,11
645,166,171,0.753436,0.62067086,1,10,10
646,179,160,0.7534126,0.62063485,1,11,10
647,187,182,0.75305235,0.6200806,1,11,11
648,89,65,0.7529419,0.61991066,1,5,4
649,97,92,0.7528283,0.6197359,1,6,5
650,190,202,0.7527595,0.61963004,1,11,12
651,156,189,0.7526579,0.61947376,1,9,11
652,95,88,0.7524785,0.61919767,1,5,5
653,195,191,0.75225556,0.6188547,1,12,11
654,76,76,0.75217414,0.61872953,1,4,4
655,80,74,0.7520778,0.6185813,1,5,4
656,96,63,0.7520229,0.61849684,1,6,3
657,109,71,0.75201416,0.6184833,1,6,4
658,75,69,0.75197506,0.61842316,1,4,4
659,87,68,0.7518123,0.61817276,1,5,4
660,193,164,0.7517451,0.6180694,1,12,10
661,73,79,0.75139385,0.61752903,1,4,4
662,201,193,0.7512984,0.61738217,1,12,12
663,148,181,0.7512473,0.61730355,1,9,11
664,186,184,0.75120544,0.61723924,1,11,11
665,79,68,0.7509153,0.61679274,1,4,4
666,162,167,0.75089836,0.61676675,1,10,10
667,101,80,0.75070024,0.616462,1,6,5
668,73,72,0.7506443,0.61637586,1,4,4
669,190,204,0.7504342,0.6160527,1,11,12
670,77,68,0.7503903,0.6159851,1,4,4
671,95,66,0.75037634,0.61596364,1,5,4
672,174,211,0.75023264,0.61574256,1,10,13
673,161,168,0.75019217,0.61568034,1,10,10
674,79,58,0.7497056,0.61493176,1,4,3
675,85,69,0.7495023,0.6146189,1,5,4
676,89,59,0.7494217,0.614495,1,5,3
677,71,69,0.7490925,0.6139885,1,4,4
678,156,186,0.7490858,0.61397815,1,9,11
679,81,94,0.74892825,0.6137358,1,5,5
680,200,167,0.74832416,0.61280644,1,12,10
681,176,164,0.748171,0.61257076,1,11,10
682,83,95,0.7481322,0.6125112,1,5,5
683,162,168,0.7480811,0.61243254,1,10,10
684,76,78,0.7478197,0.6120304,1,4,4
685,73,78,0.7475656,0.61163944,1,4,4
686,104,85,0.7473141,0.6112524,1,6,5
687,176,162,0.7471873,0.61105746,1,11,10
688,182,180,0.7470906,0.61090857,1,11,11
689,75,75,0.7469071,0.61062634,1,4,4
690,102,75,0.74655247,0.6100807,1,6,4
691,70,83,0.74653053,0.610047,1,4,5
