split_index,feature,importance
1,mean_intensity,0.012524760158863045
1,std_intensity,0.017764146163071808
1,median_intensity,0.0034353083293854306
1,mad_intensity,0.007031702832947178
1,lsb_mean,0.2653545880573268
1,lsb_h_agreement,0.02044002116277296
1,lsb_v_agreement,0.024652286400083687
1,pair_balance_mean,0.022650500320762157
1,pair_balance_std,0.028813170944568353
1,pair_balance_max,0.025258982811201914
1,pair_mass_std,0.01859517093938717
1,residual_mean,0.007320989540673208
1,residual_std,0.01853564373089467
1,residual_mean_abs,0.012767994649594177
1,residual_skew,0.02205494540499071
1,residual_excess_kurtosis,0.017964506362060356
1,lap_mean,0.006038027256575104
1,lap_std,0.02023338969652737
1,lap_mean_abs,0.018667868298014145
1,lap_skew,0.023689300638850122
1,lap_excess_kurtosis,0.02235439688480418
1,grad_mean,0.015260898853573006
1,grad_std,0.011916669871350477
1,grad_skew,0.021943480897368108
1,grad_excess_kurtosis,0.022082033484747854
1,coarse_hist_bin_00,0.01908101091470927
1,coarse_hist_bin_01,0.021112121924440237
1,coarse_hist_bin_02,0.024194360458211255
1,coarse_hist_bin_03,0.026396324473970674
1,coarse_hist_bin_04,0.02006198067067257
1,coarse_hist_bin_05,0.018332379810046033
1,coarse_hist_bin_06,0.020638606292644673
1,coarse_hist_bin_07,0.018074117340028666
1,coarse_hist_bin_08,0.016954611553533106
1,coarse_hist_bin_09,0.028256821636006114
1,coarse_hist_bin_10,0.02379406944468567
1,coarse_hist_bin_11,0.02516174122677235
1,coarse_hist_bin_12,0.017954258573712432
1,coarse_hist_bin_13,0.01639412397956078
1,coarse_hist_bin_14,0.0076920732650705564
1,coarse_hist_bin_15,0.008550614745541722
2,mean_intensity,0.014905576261410714
2,std_intensity,0.01964658384304086
2,median_intensity,0.003814439991203282
2,mad_intensity,0.007360820474184749
2,lsb_mean,0.2203476274611607
2,lsb_h_agreement,0.0186558103895656
2,lsb_v_agreement,0.029809327310541058
2,pair_balance_mean,0.019840145326671377
2,pair_balance_std,0.02795121041096737
2,pair_balance_max,0.028575075280795448
2,pair_mass_std,0.021385955299886492
2,residual_mean,0.00759523612362323
2,residual_std,0.019958839067898138
2,residual_mean_abs,0.014032789866246963
2,residual_skew,0.017310775237320716
2,residual_excess_kurtosis,0.021486347027015445
2,lap_mean,0.008835718190088805
2,lap_std,0.02195481666079076
2,lap_mean_abs,0.01830618074415551
2,lap_skew,0.026451518883819393
2,lap_excess_kurtosis,0.023464194074294283
2,grad_mean,0.015714960545043715
2,grad_std,0.02200343595724433
2,grad_skew,0.0215511382613667
2,grad_excess_kurtosis,0.02915380326860173
2,coarse_hist_bin_00,0.0144194271044483
2,coarse_hist_bin_01,0.022385260039393125
2,coarse_hist_bin_02,0.021645332938498987
2,coarse_hist_bin_03,0.021464840751284884
2,coarse_hist_bin_04,0.017389759131633875
2,coarse_hist_bin_05,0.027263015555506698
2,coarse_hist_bin_06,0.0236056573684339
2,coarse_hist_bin_07,0.019055959706129878
2,coarse_hist_bin_08,0.018293790600530702
2,coarse_hist_bin_09,0.02255314119791672
2,coarse_hist_bin_10,0.023928911798469947
2,coarse_hist_bin_11,0.02528725190503115
2,coarse_hist_bin_12,0.021290853562252212
2,coarse_hist_bin_13,0.017430227423754975
2,coarse_hist_bin_14,0.012679617121621396
2,coarse_hist_bin_15,0.011194627838155963
3,mean_intensity,0.011754317752410046
3,std_intensity,0.01823057143088463
3,median_intensity,0.004375070637490058
3,mad_intensity,0.008045161468334396
3,lsb_mean,0.21381897550530568
3,lsb_h_agreement,0.028891775722868353
3,lsb_v_agreement,0.028737147225110764
3,pair_balance_mean,0.029788014311924495
3,pair_balance_std,0.027411841259067413
3,pair_balance_max,0.024446947008141155
3,pair_mass_std,0.025863339339638775
3,residual_mean,0.007608417259089666
3,residual_std,0.016186256343649258
3,residual_mean_abs,0.016581382001136
3,residual_skew,0.020178580510238877
3,residual_excess_kurtosis,0.020886171914745528
3,lap_mean,0.007920873367136231
3,lap_std,0.018947395779133618
3,lap_mean_abs,0.01887942162573265
3,lap_skew,0.024426117016485654
3,lap_excess_kurtosis,0.023175012881515213
3,grad_mean,0.01982061623329947
3,grad_std,0.014731181000896878
3,grad_skew,0.019995438250268206
3,grad_excess_kurtosis,0.018046460909935315
3,coarse_hist_bin_00,0.02154287766737745
3,coarse_hist_bin_01,0.019697452113370126
3,coarse_hist_bin_02,0.022494007416008325
3,coarse_hist_bin_03,0.02103475785669973
3,coarse_hist_bin_04,0.016755391744360224
3,coarse_hist_bin_05,0.023091492836475477
3,coarse_hist_bin_06,0.02365642824116594
3,coarse_hist_bin_07,0.023307780942864623
3,coarse_hist_bin_08,0.026146281470565687
3,coarse_hist_bin_09,0.027891277397964865
3,coarse_hist_bin_10,0.02281207938113485
3,coarse_hist_bin_11,0.026386993291567084
3,coarse_hist_bin_12,0.015296276082408076
3,coarse_hist_bin_13,0.015461709490722488
3,coarse_hist_bin_14,0.01467002190890879
3,coarse_hist_bin_15,0.01100868540396791
4,mean_intensity,0.019495912173352017
4,std_intensity,0.013239545348683686
4,median_intensity,0.0070926695322674396
4,mad_intensity,0.008201368576692349
4,lsb_mean,0.25782293154255614
4,lsb_h_agreement,0.02220149958072201
4,lsb_v_agreement,0.024960752692863908
4,pair_balance_mean,0.034955572493003594
4,pair_balance_std,0.03088084459023125
4,pair_balance_max,0.01908683725824166
4,pair_mass_std,0.022868751719613587
4,residual_mean,0.00489889049785992
4,residual_std,0.01573603474147352
4,residual_mean_abs,0.017899696015202967
4,residual_skew,0.017607399187372336
4,residual_excess_kurtosis,0.020862499669948936
4,lap_mean,0.003331808894585628
4,lap_std,0.013164070084255486
4,lap_mean_abs,0.016491839170068946
4,lap_skew,0.020948520878148354
4,lap_excess_kurtosis,0.01609900251522516
4,grad_mean,0.014872544116231488
4,grad_std,0.020755238321055334
4,grad_skew,0.020323366089852034
4,grad_excess_kurtosis,0.028298455894382984
4,coarse_hist_bin_00,0.017836901843067916
4,coarse_hist_bin_01,0.01509561921056258
4,coarse_hist_bin_02,0.021364573165254582
4,coarse_hist_bin_03,0.02277879476335718
4,coarse_hist_bin_04,0.019129096962814323
4,coarse_hist_bin_05,0.021262857085200485
4,coarse_hist_bin_06,0.0216885961471605
4,coarse_hist_bin_07,0.0209542623269527
4,coarse_hist_bin_08,0.029832273603108982
4,coarse_hist_bin_09,0.0211572154505015
4,coarse_hist_bin_10,0.017637533420776605
4,coarse_hist_bin_11,0.022092313515227398
4,coarse_hist_bin_12,0.019967470674676215
4,coarse_hist_bin_13,0.019418107160880712
4,coarse_hist_bin_14,0.012827375809682856
4,coarse_hist_bin_15,0.004860957276884691
5,mean_intensity,0.015008546658067019
5,std_intensity,0.017339364569500814
5,median_intensity,0.002367160737797347
5,mad_intensity,0.007781787851166065
5,lsb_mean,0.23867075445129687
5,lsb_h_agreement,0.018569393258653286
5,lsb_v_agreement,0.024005916155441655
5,pair_balance_mean,0.028724543969920253
5,pair_balance_std,0.028867620981076317
5,pair_balance_max,0.019198232559839087
5,pair_mass_std,0.0257488267336838
5,residual_mean,0.005030007243995107
5,residual_std,0.02509371621073676
5,residual_mean_abs,0.014891435218595154
5,residual_skew,0.0149428479899819
5,residual_excess_kurtosis,0.01906561146187702
5,lap_mean,0.006500867499138191
5,lap_std,0.01552689063497115
5,lap_mean_abs,0.01694461362711887
5,lap_skew,0.027418397607614838
5,lap_excess_kurtosis,0.02039352498206429
5,grad_mean,0.01909687304548194
5,grad_std,0.017196819451244363
5,grad_skew,0.023420264309525436
5,grad_excess_kurtosis,0.02257734998258254
5,coarse_hist_bin_00,0.02076986970118169
5,coarse_hist_bin_01,0.01884431991087634
5,coarse_hist_bin_02,0.021093749553858288
5,coarse_hist_bin_03,0.01845825164119225
5,coarse_hist_bin_04,0.017640747357542924
5,coarse_hist_bin_05,0.0235110775749645
5,coarse_hist_bin_06,0.024702972029419207
5,coarse_hist_bin_07,0.019512299731946584
5,coarse_hist_bin_08,0.024065002436848764
5,coarse_hist_bin_09,0.029137408142032275
5,coarse_hist_bin_10,0.025406514338559723
5,coarse_hist_bin_11,0.0212581666441386
5,coarse_hist_bin_12,0.013188252948218782
5,coarse_hist_bin_13,0.01710070836137359
5,coarse_hist_bin_14,0.01305741529001182
5,coarse_hist_bin_15,0.017871877146464526
6,mean_intensity,0.009961938510607416
6,std_intensity,0.01879742905809371
6,median_intensity,0.004381094707333977
6,mad_intensity,0.0043411843815851
6,lsb_mean,0.20471412165129826
6,lsb_h_agreement,0.02727091222558066
6,lsb_v_agreement,0.034056729264997386
6,pair_balance_mean,0.028645908124516863
6,pair_balance_std,0.025136338062484102
6,pair_balance_max,0.025165265535228437
6,pair_mass_std,0.01598024113585895
6,residual_mean,0.0061952572993742945
6,residual_std,0.023968339237743972
6,residual_mean_abs,0.017153577660347526
6,residual_skew,0.018988191312534868
6,residual_excess_kurtosis,0.02388425252318848
6,lap_mean,0.007301716266511478
6,lap_std,0.016636976820502927
6,lap_mean_abs,0.018116485514296777
6,lap_skew,0.02575828855795799
6,lap_excess_kurtosis,0.022873311905304616
6,grad_mean,0.012727262746926772
6,grad_std,0.019938089110398023
6,grad_skew,0.02417718680242509
6,grad_excess_kurtosis,0.026466013268323287
6,coarse_hist_bin_00,0.018263040613332525
6,coarse_hist_bin_01,0.019859269874811132
6,coarse_hist_bin_02,0.023560835519997762
6,coarse_hist_bin_03,0.023325424611776658
6,coarse_hist_bin_04,0.013776407856076773
6,coarse_hist_bin_05,0.025249395788300284
6,coarse_hist_bin_06,0.02571162396650751
6,coarse_hist_bin_07,0.02211614922192024
6,coarse_hist_bin_08,0.017904600393523692
6,coarse_hist_bin_09,0.031779009513707025
6,coarse_hist_bin_10,0.02293134186893322
6,coarse_hist_bin_11,0.025137953323452828
6,coarse_hist_bin_12,0.01618590724274732
6,coarse_hist_bin_13,0.023811954694656537
6,coarse_hist_bin_14,0.016283569923876546
6,coarse_hist_bin_15,0.011467403902958953
7,mean_intensity,0.014675916787486303
7,std_intensity,0.01912605338758739
7,median_intensity,0.004134577626784306
7,mad_intensity,0.005631524732562589
7,lsb_mean,0.21722610771623282
7,lsb_h_agreement,0.02932189823641301
7,lsb_v_agreement,0.035986989463988685
7,pair_balance_mean,0.025918199627448957
7,pair_balance_std,0.02934582440410558
7,pair_balance_max,0.022535768051421757
7,pair_mass_std,0.019152016201891178
7,residual_mean,0.00495689964672014
7,residual_std,0.020295977214194176
7,residual_mean_abs,0.01604954865826047
7,residual_skew,0.018941460142611683
7,residual_excess_kurtosis,0.024743873299127854
7,lap_mean,0.007670739049121189
7,lap_std,0.01528719993002175
7,lap_mean_abs,0.019237737071501382
