split_index,detector,train_size,test_size,test_auc,test_average_precision,test_accuracy,test_f1,test_precision,test_recall,tn,fp,fn,tp
93,logistic_regression,28,14,0.7755102040816326,0.7779434850863423,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,6
93,random_forest,28,14,0.8163265306122449,0.7919294990723562,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
94,logistic_regression,28,14,0.7959183673469388,0.8123376623376624,0.6428571428571429,0.7368421052631579,0.5833333333333334,1.0,2,5,0,7
94,random_forest,28,14,0.8877551020408164,0.8260204081632654,0.7142857142857143,0.7777777777777778,0.6363636363636364,1.0,3,4,0,7
95,logistic_regression,28,14,0.7755102040816326,0.8182900432900433,0.6428571428571429,0.6153846153846154,0.6666666666666666,0.5714285714285714,5,2,3,4
95,random_forest,28,14,0.9183673469387755,0.9325396825396823,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
96,logistic_regression,28,14,0.8163265306122449,0.8242424242424242,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
96,random_forest,28,14,0.9183673469387754,0.9480519480519478,0.9285714285714286,0.9230769230769231,1.0,0.8571428571428571,7,0,1,6
97,logistic_regression,28,14,0.9183673469387755,0.9093537414965986,0.6428571428571429,0.5454545454545454,0.75,0.42857142857142855,6,1,4,3
97,random_forest,28,14,0.8571428571428571,0.8857142857142857,0.7142857142857143,0.6,1.0,0.42857142857142855,7,0,4,3
98,logistic_regression,28,14,0.7551020408163266,0.7983516483516482,0.6428571428571429,0.7058823529411765,0.6,0.8571428571428571,3,4,1,6
98,random_forest,28,14,0.8469387755102041,0.8928571428571428,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
99,logistic_regression,28,14,0.7346938775510203,0.8233516483516483,0.6428571428571429,0.7058823529411765,0.6,0.8571428571428571,3,4,1,6
99,random_forest,28,14,0.8775510204081634,0.8260204081632654,0.9285714285714286,0.9333333333333333,0.875,1.0,6,1,0,7
100,logistic_regression,28,14,0.7755102040816326,0.853113553113553,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
100,random_forest,28,14,0.9183673469387755,0.9480519480519478,0.7857142857142857,0.8,0.75,0.8571428571428571,5,2,1,6
